Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f2chiv', 'k_phi', 'o8')",3,0.7731736487771887,0.5549457490450627,0.6521359770028227,0.7471504073172237
"('f2chi', 'fbonhq2', 'fwiener')",3,0.7604509669921847,0.6845115765912049,0.6520993107589306,0.7334678599209639
"('2chi', 'bonhq1', 'd0chi')",3,0.7802540401970681,0.685483608227244,0.652064905599528,0.7553771937120701
"('estrada', 'f2chi', 'fbonhq2')",3,0.7623523413508833,0.6843038433807018,0.6519789313601301,0.7355972700166014
"('2chiv', '3chi', 'onhq1')",3,0.783836306120028,0.6868656626470584,0.6517553137960662,0.7588918707061011
"('f2chi', 'fbonhq2', 'festrada')",3,0.764160341542646,0.6849157490671463,0.6516022290422772,0.7374480353541892
"('kier_al', 'o8', 's2chi')",3,0.7693397689415549,0.6840954136073094,0.6514499512289902,0.7436130997343331
"('f2chi', 'fbonhq2', 's4chi')",3,0.7632142560887629,0.6827111407784392,0.6514243139380451,0.7365693277936294
"('2chiv', '2kal', 'bonhr')",3,0.7649298388368865,0.6633434123733226,0.6513837882952656,0.7404871269768117
"('f2chi', 'fbonhq2', 'na_an')",3,0.7618288670639182,0.6838361669832658,0.6513162127506922,0.7350056381648221
"('kier_al', 'oq1', 's2chi')",3,0.7766848546569876,0.68183480448107,0.6512717107701219,0.7519966724314613
"('f2chi', 'fbonhq2', 't_ova')",3,0.7578262161166106,0.6842401555606132,0.6509821252897281,0.7302696190605329
"('2chi', 'd0chi', 'oq1')",3,0.782126371254042,0.6842413904979676,0.6509777952792359,0.7573574113166182
"('bonh2', 'd3chi', 's2chi')",3,0.7847322896405684,0.6811061289225526,0.650939842883967,0.7620663819592355
"('crest_flex', 'fbonhq2', 'onhh5')",3,0.7682482433986629,0.6865056769266565,0.6508333904866677,0.7416530265679298
"('f2chi', 'fbonhq2', 'zagreb1')",3,0.7623265421870644,0.6831056639104829,0.6508311249760924,0.7355676845999735
"('2k', 'f2chiv', 'o8')",3,0.7712933094075105,0.5539795879193159,0.650734920987488,0.7449344749863508
"('bonhq2', 'd1chi', 'oh5')",3,0.756762175153423,0.668059295542637,0.650696582972962,0.734962777879711
"('Tenbo1', 'bonhr', 'crest_flex')",3,0.8159419080916157,0.6808006029350187,0.6506421948983778,0.7961482280200232
"('f2chi', 'fbonhq2', 'k_phia')",3,0.760299669818065,0.682273473185032,0.6506414053608128,0.7333534400845072
"('0chiv', 'd0chi', 'o8')",3,0.769786981802614,0.6848605133083185,0.6505554104721027,0.7438433419072535
"('5chi', 'f2chiv', 'fbonhq2')",3,0.7626375364827662,0.6862712404016305,0.6505019545618227,0.7351456537687826
"('d0chi', 'o8', 's0chi')",3,0.7698874342093193,0.684990229808493,0.6504254209521998,0.7438515421094413
"('0chi', 'd0chi', 'o8')",3,0.7700717838713145,0.6854815204638425,0.6503270192663617,0.7438585888947509
"('2chiv', 'd4chi', 'o8')",3,0.767353535092503,0.685934255666894,0.6502688566098924,0.7408208936845101
"('1chi', '2chiv', 'bonh8')",3,0.7758359038012492,0.6871286755593995,0.65026778181799,0.7498591887440776
"('3kal', 'f2chiv', 'onh8')",3,0.7713204766321536,0.6127043423983178,0.6501589137583073,0.746387411050867
"('f2chi', 'fbonhq2', 'k_phi')",3,0.7602604283379886,0.6815306499759777,0.6500457693382014,0.7332888829113084
"('d0chi', 'oq1', 's2chi')",3,0.7805548997014401,0.680417926035413,0.6500404561372539,0.7563287326255046
"('Tenbo1', 'crest_flex', 'nbo*')",3,0.763573091393603,0.6731292296938227,0.6499830519185485,0.7806498454936672
"('bonhq2', 'd1chi', 'onhq4')",3,0.7564594936747366,0.6654201611858709,0.6499755381670516,0.7343711507013606
"('Tenbo1', 'bonhr', 'kier_al')",3,0.7896682681200554,0.6870397572762712,0.6499038636484253,0.7656482869680836
"('2chi', 'f2chi', 'fbonhq2')",3,0.7627229197797873,0.6815983969502292,0.649884520585986,0.7361308961318578
"('f2chi', 'fbonhq2', 't_ova_nh')",3,0.7582328183090052,0.6830653269961529,0.649523658279663,0.7307387026356473
"('Tenbo1', 'bonh4', 'd3chi')",3,0.7720416389057422,0.6846582870632207,0.6495118566041116,0.7456959317073019
"('f2chi', 'fbonhq2', 's2chi')",3,0.7629805565541099,0.35233425697080256,0.6494557773106459,0.7368018860949959
"('f2chiv', 'fbonhq2', 'fonhq4')",3,0.7578788977392791,0.6856142775814268,0.6492338576735357,0.7297934837269419
"('Tenbo1', 'gap', 'kier_al')",3,0.7736098374492901,0.6558800813732379,0.6491912942768365,0.7566611802619085
"('f2chi', 'fbonhq2', 'zagreb2')",3,0.761875903880437,0.6813732575203577,0.6491481868863636,0.7350633242845732
"('bonhh3', 'crest_flex', 'fbonhq2')",3,0.7608542703048462,0.6810924524493025,0.649139382536031,0.7346920827457728
"('kier_al', 'onhq1', 's2chi')",3,0.7750065577402911,0.679741715703581,0.6491258013884603,0.7501756727193714
"('d3chi', 'f2chi', 'fbonhq2')",3,0.7582048515492507,0.681615800495522,0.6490961976932885,0.7311254720209648
"('f2chiv', 'k_phia', 'o8')",3,0.7714478695435539,0.5519863569575667,0.6490730002048899,0.7452050717051701
"('2chi', 'd0chi', 'onhq1')",3,0.7804618544353511,0.6822305998722644,0.6488231722138809,0.7555217662333087
"('f2chiv', 'k_ups', 'o8')",3,0.7749180709935242,0.5532353821019378,0.6487943660309201,0.7492261373309974
"('2kb', 'f2chiv', 'o8')",3,0.7696578111295784,0.5520117842478921,0.648772724389392,0.7431864334142378
